plot_id,tree_id,species,species_code,dbh_cm,height_m,agb_kg
P022,P022-62,Douglas-fir,FDC,13.9,14.6,167.5
P022,P022-63,Western hemlock,HW,26.1,20.0,546.4
P022,P022-64,Western hemlock,HW,18.7,17.0,256.4
P022,P022-65,Douglas-fir,FDC,12.7,12.1,122.3
P022,P022-66,Douglas-fir,FDC,30.9,24.3,812.5
P022,P022-67,Western redcedar,CW,16.4,12.9,181.5
P022,P022-68,Douglas-fir,FDC,24.3,20.8,535.6
P022,P022-69,Red alder,DR,9.8,9.2,59.6
P022,P022-70,Western redcedar,CW,11.3,9.7,86.7
P022,P022-71,Douglas-fir,FDC,16.9,16.3,218.9
P022,P022-72,Western hemlock,HW,49.7,32.5,2096.9
P022,P022-73,Bigleaf maple,MB,27.3,18.4,563.3
P022,P022-74,Douglas-fir,FDC,17.3,15.8,266.9
P022,P022-75,Red alder,DR,16.2,15.7,166.4
P022,P022-76,Western hemlock,HW,26.2,20.8,580.5
P022,P022-77,Douglas-fir,FDC,18.3,15.6,303.6
P022,P022-78,Bigleaf maple,MB,21.5,14.3,345.6
P022,P022-79,Douglas-fir,FDC,17.0,15.7,247.8
P022,P022-80,Douglas-fir,FDC,11.3,13.4,113.7
P023,P023-01,Western redcedar,CW,13.7,9.0,124.3
P023,P023-02,Red alder,DR,29.9,20.3,571.5
P023,P023-03,Red alder,DR,14.4,13.8,123.9
P023,P023-04,Red alder,DR,23.9,17.3,355.1
P023,P023-05,Red alder,DR,13.5,10.2,118.8
P023,P023-06,Western redcedar,CW,19.6,14.8,249.7
P023,P023-07,Red alder,DR,30.0,19.3,631.9
P023,P023-08,Red alder,DR,26.3,20.1,457.7
P023,P023-09,Sitka spruce,SS,14.0,13.4,141.1
P023,P023-10,Red alder,DR,15.4,17.6,147.3
P023,P023-11,Western redcedar,CW,17.0,12.4,172.8
P023,P023-12,Western redcedar,CW,18.9,16.3,246.9
P023,P023-13,Western redcedar,CW,20.4,13.6,275.7
P023,P023-14,Bigleaf maple,MB,8.3,6.9,50.6
P023,P023-15,Bigleaf maple,MB,27.9,19.0,552.7
P023,P023-16,Bigleaf maple,MB,13.3,10.1,138.0
P023,P023-17,Bigleaf maple,MB,32.5,16.7,779.1
P023,P023-18,Western redcedar,CW,18.3,13.2,211.9
P023,P023-19,Bigleaf maple,MB,15.9,12.7,196.0
P023,P023-20,Red alder,DR,17.7,13.9,208.3
P023,P023-21,Red alder,DR,28.8,21.1,497.9
P023,P023-22,Red alder,DR,19.2,16.3,217.0
P023,P023-23,Sitka spruce,SS,22.4,19.2,338.6
P023,P023-24,Red alder,DR,36.7,25.6,815.5
P023,P023-25,Western redcedar,CW,8.4,6.2,39.9
P023,P023-26,Red alder,DR,23.6,18.0,330.0
P023,P023-27,Bigleaf maple,MB,34.0,20.5,824.1
P023,P023-28,Western redcedar,CW,28.5,15.8,493.0
P023,P023-29,Western redcedar,CW,42.3,25.3,1203.6
P023,P023-30,Red alder,DR,12.6,13.1,97.6
P023,P023-31,Red alder,DR,20.0,15.8,265.0
P023,P023-32,Red alder,DR,19.7,17.2,246.8
P024,P024-01,Red alder,DR,13.6,16.2,121.9
P024,P024-02,Red alder,DR,29.0,22.3,498.6
P024,P024-03,Western redcedar,CW,27.5,18.4,476.5
P024,P024-04,Bigleaf maple,MB,26.8,16.3,530.3
P024,P024-05,Bigleaf maple,MB,13.6,12.2,147.1
P024,P024-06,Red alder,DR,23.0,16.5,343.2
P024,P024-07,Red alder,DR,26.5,21.0,438.5
P024,P024-08,Red alder,DR,32.2,22.3,737.4
P024,P024-09,Bigleaf maple,MB,18.2,14.3,267.3
P024,P024-10,Sitka spruce,SS,11.0,14.4,79.8
P024,P024-11,Bigleaf maple,MB,14.3,12.6,143.1
P024,P024-12,Western redcedar,CW,27.8,16.9,519.0
P024,P024-13,Red alder,DR,11.7,12.8,81.8
P024,P024-14,Bigleaf maple,MB,19.2,15.2,268.7
P024,P024-15,Red alder,DR,36.6,21.6,956.6
P024,P024-16,Bigleaf maple,MB,32.4,19.4,838.6
P024,P024-17,Red alder,DR,17.9,13.5,212.4
P024,P024-18,Sitka spruce,SS,23.1,21.3,410.6
P024,P024-19,Bigleaf maple,MB,38.6,22.5,1100.2
P024,P024-20,Bigleaf maple,MB,16.6,12.9,218.9
P024,P024-21,Sitka spruce,SS,13.5,14.3,140.5
P024,P024-22,Red alder,DR,15.9,12.0,165.0
P024,P024-23,Red alder,DR,22.0,16.5,300.6
P024,P024-24,Western redcedar,CW,16.0,10.5,155.4
P024,P024-25,Bigleaf maple,MB,9.2,4.9,59.1
P024,P024-26,Western redcedar,CW,37.2,22.2,844.9
P024,P024-27,Sitka spruce,SS,25.9,23.4,526.1
P024,P024-28,Bigleaf maple,MB,21.4,13.1,322.4
P024,P024-29,Western redcedar,CW,11.5,8.0,75.5
P024,P024-30,Sitka spruce,SS,25.3,21.1,518.9
P024,P024-31,Bigleaf maple,MB,19.6,13.0,289.6
P024,P024-32,Bigleaf maple,MB,13.6,9.6,140.1
P024,P024-33,Western redcedar,CW,17.2,12.2,201.7
P024,P024-34,Sitka spruce,SS,23.7,21.7,383.5
P025,P025-01,Douglas-fir,FDC,37.7,27.5,1289.8
P025,P025-02,Douglas-fir,FDC,37.2,27.8,1209.8
P025,P025-03,Western redcedar,CW,10.1,6.3,65.1
P025,P025-04,Douglas-fir,FDC,20.3,17.1,374.4
P025,P025-05,Western hemlock,HW,29.7,23.3,667.6
P025,P025-06,Western hemlock,HW,29.8,22.3,756.7
P025,P025-07,Western hemlock,HW,21.4,20.8,397.1
P025,P025-08,Douglas-fir,FDC,33.7,26.3,917.2
P025,P025-09,Douglas-fir,FDC,44.9,30.5,1703.7
P025,P025-10,Western hemlock,HW,74.5,37.8,4173.3
P025,P025-11,Douglas-fir,FDC,74.1,37.0,5090.3
P025,P025-12,Western hemlock,HW,50.2,32.9,1866.3
P025,P025-13,Douglas-fir,FDC,27.3,21.6,574.6
P025,P025-14,Douglas-fir,FDC,17.1,15.2,217.3
P025,P025-15,Sitka spruce,SS,19.9,16.0,293.6
P025,P025-16,Sitka spruce,SS,27.0,20.9,585.0
P025,P025-17,Douglas-fir,FDC,27.8,21.3,704.9
P025,P025-18,Sitka spruce,SS,46.4,32.9,1718.7
P025,P025-19,Western hemlock,HW,36.9,27.7,1159.2
P026,P026-01,Western hemlock,HW,12.6,14.4,112.9
P026,P026-02,Douglas-fir,FDC,28.7,19.3,741.1
P026,P026-03,Douglas-fir,FDC,18.2,15.3,253.7
P026,P026-04,Douglas-fir,FDC,14.1,12.4,150.3
P026,P026-05,Western redcedar,CW,24.8,15.6,370.3
P026,P026-06,Douglas-fir,FDC,28.6,21.0,666.4
P026,P026-07,Red alder,DR,17.0,14.6,197.9
P026,P026-08,Western hemlock,HW,41.1,25.2,1330.7
P026,P026-09,Red alder,DR,18.8,19.7,212.5
P026,P026-10,Douglas-fir,FDC,13.7,12.5,146.8
P026,P026-11,Douglas-fir,FDC,21.9,21.4,412.2
P026,P026-12,Western redcedar,CW,20.4,12.8,275.2
P026,P026-13,Bigleaf maple,MB,20.3,14.6,307.7
P026,P026-14,Douglas-fir,FDC,10.7,8.1,98.8
P026,P026-15,Douglas-fir,FDC,31.9,22.8,826.4
P026,P026-16,Western hemlock,HW,13.8,12.6,159.5
P026,P026-17,Douglas-fir,FDC,18.6,16.7,259.3
P026,P026-18,Western hemlock,HW,21.8,18.5,346.6
P026,P026-19,Western hemlock,HW,16.5,16.4,204.3
P026,P026-20,Douglas-fir,FDC,22.6,16.7,419.4
P026,P026-21,Douglas-fir,FDC,29.2,23.5,651.2
P026,P026-22,Bigleaf maple,MB,36.9,20.1,1073.9
P026,P026-23,Douglas-fir,FDC,43.5,28.7,1621.6
P026,P026-24,Western hemlock,HW,31.4,27.1,752.9
P026,P026-25,Douglas-fir,FDC,17.3,14.7,255.4
P026,P026-26,Bigleaf maple,MB,22.6,15.3,406.0
P026,P026-27,Western redcedar,CW,11.8,9.0,88.2
P026,P026-28,Western hemlock,HW,15.1,13.4,169.0
P026,P026-29,Red alder,DR,8.8,7.5,45.6
P026,P026-30,Western hemlock,HW,16.6,14.9,213.5
P026,P026-31,Western redcedar,CW,36.8,21.5,853.4
P026,P026-32,Western hemlock,HW,24.0,19.2,430.6
P026,P026-33,Douglas-fir,FDC,12.5,12.8,137.0
P026,P026-34,Douglas-fir,FDC,31.6,24.1,830.6
P026,P026-35,Douglas-fir,FDC,27.7,19.4,585.5
P026,P026-36,Bigleaf maple,MB,11.5,14.0,103.3
P026,P026-37,Red alder,DR,14.5,13.6,124.5
P026,P026-38,Western redcedar,CW,29.7,19.7,580.7
P026,P026-39,Western hemlock,HW,25.3,19.4,553.4
P026,P026-40,Western redcedar,CW,10.8,8.7,74.2
P026,P026-41,Western hemlock,HW,22.3,15.3,405.7
P026,P026-42,Western hemlock,HW,20.1,16.8,287.4
P026,P026-43,Douglas-fir,FDC,34.2,26.6,980.0
P026,P026-44,Douglas-fir,FDC,30.6,23.7,806.8
P026,P026-45,Western hemlock,HW,9.8,10.2,74.6
P026,P026-46,Western hemlock,HW,14.3,14.6,153.3
P026,P026-47,Western redcedar,CW,18.6,12.3,232.7
P026,P026-48,Red alder,DR,9.5,11.8,61.0
P026,P026-49,Red alder,DR,14.3,11.8,121.6
P026,P026-50,Red alder,DR,19.0,14.9,208.7
P026,P026-51,Douglas-fir,FDC,29.2,23.4,648.9
P027,P027-01,Red alder,DR,23.1,17.5,310.1
P027,P027-02,Red alder,DR,13.8,14.1,108.4
P027,P027-03,Bigleaf maple,MB,11.5,10.2,107.8
P027,P027-04,Sitka spruce,SS,38.3,26.7,1110.6
P027,P027-05,Western redcedar,CW,16.0,12.3,170.6
P027,P027-06,Red alder,DR,31.4,22.4,623.7
P027,P027-07,Bigleaf maple,MB,29.4,18.3,713.2
P027,P027-08,Bigleaf maple,MB,23.5,14.9,398.3
P027,P027-09,Bigleaf maple,MB,16.4,11.1,186.4
P027,P027-10,Bigleaf maple,MB,33.6,18.6,851.9
P027,P027-11,Red alder,DR,25.8,16.9,428.4
P027,P027-12,Red alder,DR,16.5,14.1,161.9
P027,P027-13,Bigleaf maple,MB,11.9,11.2,110.7
P027,P027-14,Western redcedar,CW,20.7,13.9,258.7
P027,P027-15,Red alder,DR,12.3,10.2,92.0
P027,P027-16,Western redcedar,CW,11.7,10.7,86.3
P027,P027-17,Bigleaf maple,MB,10.6,6.4,88.8
P027,P027-18,Bigleaf maple,MB,26.6,16.7,572.1
P027,P027-19,Bigleaf maple,MB,23.0,12.9,383.7
P027,P027-20,Western redcedar,CW,13.4,13.2,115.5
P027,P027-21,Western redcedar,CW,7.6,4.1,34.7
P027,P027-22,Red alder,DR,16.0,13.9,175.0
P027,P027-23,Bigleaf maple,MB,22.7,14.5,424.6
P027,P027-24,Western redcedar,CW,16.2,11.1,166.3
P027,P027-25,Red alder,DR,9.5,8.6,55.6
P027,P027-26,Western redcedar,CW,17.5,12.9,207.2
P027,P027-27,Red alder,DR,26.6,19.5,425.3
P027,P027-28,Red alder,DR,27.4,20.4,457.6
P027,P027-29,Bigleaf maple,MB,15.5,10.9,179.3
P027,P027-30,Western redcedar,CW,22.6,16.7,316.3
P027,P027-31,Red alder,DR,17.4,12.6,205.0
P027,P027-32,Red alder,DR,20.2,20.1,268.9
P027,P027-33,Sitka spruce,SS,9.4,9.8,62.1
P027,P027-34,Western redcedar,CW,30.8,18.4,607.8
P027,P027-35,Western redcedar,CW,14.4,13.1,124.2
P027,P027-36,Sitka spruce,SS,19.9,18.7,269.4
P027,P027-37,Bigleaf maple,MB,18.5,12.4,243.9
P027,P027-38,Western redcedar,CW,30.2,19.9,633.6
P027,P027-39,Bigleaf maple,MB,20.3,13.1,292.7
P027,P027-40,Western redcedar,CW,19.7,15.3,246.3
P027,P027-41,Red alder,DR,25.7,20.6,390.4
P027,P027-42,Red alder,DR,22.6,15.7,329.3
P027,P027-43,Red alder,DR,10.1,7.7,58.5
P027,P027-44,Red alder,DR,20.2,16.2,242.0
P027,P027-45,Western redcedar,CW,11.5,10.1,85.6
P027,P027-46,Bigleaf maple,MB,16.6,11.1,213.0
P027,P027-47,Red alder,DR,17.8,15.2,188.6
P027,P027-48,Bigleaf maple,MB,20.2,12.1,312.7
P027,P027-49,Red alder,DR,40.1,22.8,1146.5
P027,P027-50,Sitka spruce,SS,31.2,25.3,783.4
P027,P027-51,Bigleaf maple,MB,15.6,11.4,180.1
P027,P027-52,Red alder,DR,13.6,11.8,125.3
P028,P028-01,Western redcedar,CW,22.6,16.0,325.2
P028,P028-02,Douglas-fir,FDC,38.4,25.8,1279.7
P028,P028-03,Western hemlock,HW,24.4,20.2,501.2
P028,P028-04,Douglas-fir,FDC,19.2,14.7,309.9
P028,P028-05,Douglas-fir,FDC,23.2,20.9,468.6
P028,P028-06,Western hemlock,HW,33.7,23.6,996.3
P028,P028-07,Western hemlock,HW,29.7,23.1,656.7
P028,P028-08,Western hemlock,HW,22.0,18.8,365.2
P028,P028-09,Red alder,DR,17.8,15.9,211.4
P028,P028-10,Western hemlock,HW,17.8,17.0,231.9
P028,P028-11,Bigleaf maple,MB,21.9,14.3,369.0
P028,P028-12,Western hemlock,HW,46.7,30.0,1808.0
P028,P028-13,Douglas-fir,FDC,11.3,9.3,103.7
P028,P028-14,Western hemlock,HW,15.4,14.3,183.7
P028,P028-15,Douglas-fir,FDC,17.7,13.3,262.1
P028,P028-16,Douglas-fir,FDC,25.1,20.2,521.2
P028,P028-17,Douglas-fir,FDC,13.9,16.4,146.2
P028,P028-18,Red alder,DR,35.9,22.8,871.9
P028,P028-19,Western hemlock,HW,28.7,23.5,665.8
P028,P028-20,Red alder,DR,28.2,18.5,466.4
P028,P028-21,Western redcedar,CW,22.7,16.5,343.7
P028,P028-22,Douglas-fir,FDC,26.7,21.3,640.4
P028,P028-23,Western redcedar,CW,20.0,15.2,267.2
P028,P028-24,Western hemlock,HW,20.7,18.0,305.8
P028,P028-25,Douglas-fir,FDC,14.9,15.2,189.0
P028,P028-26,Douglas-fir,FDC,29.8,20.8,797.6
P028,P028-27,Red alder,DR,10.0,9.1,61.1
P028,P028-28,Western hemlock,HW,25.3,16.7,469.3
P028,P028-29,Western hemlock,HW,21.4,17.7,344.9
P028,P028-30,Douglas-fir,FDC,25.3,20.2,481.0
P028,P028-31,Western redcedar,CW,12.2,10.4,95.6
P028,P028-32,Douglas-fir,FDC,17.5,15.0,243.9
P028,P028-33,Douglas-fir,FDC,17.3,13.1,267.7
P028,P028-34,Bigleaf maple,MB,21.9,16.4,399.3
P028,P028-35,Douglas-fir,FDC,15.5,15.6,190.0
P028,P028-36,Bigleaf maple,MB,10.2,8.9,80.4
P028,P028-37,Douglas-fir,FDC,9.3,6.2,73.3
P028,P028-38,Western redcedar,CW,12.7,7.9,108.8
P028,P028-39,Western hemlock,HW,23.0,17.6,428.0
P028,P028-40,Western hemlock,HW,33.8,23.8,1004.0
P028,P028-41,Bigleaf maple,MB,24.7,15.2,459.3
P028,P028-42,Douglas-fir,FDC,23.8,20.5,486.4
P028,P028-43,Red alder,DR,21.2,16.7,304.6
P028,P028-44,Douglas-fir,FDC,42.7,27.4,1674.6
P028,P028-45,Western hemlock,HW,36.8,26.3,1179.1
P028,P028-46,Douglas-fir,FDC,49.7,32.6,1919.2
P028,P028-47,Western hemlock,HW,17.7,13.3,262.4
P028,P028-48,Douglas-fir,FDC,32.2,22.4,904.6
P028,P028-49,Western hemlock,HW,13.5,12.0,153.0
P028,P028-50,Western hemlock,HW,37.6,25.2,1077.0
P028,P028-51,Western redcedar,CW,30.3,17.7,572.4
P028,P028-52,Douglas-fir,FDC,23.2,18.3,430.2
P028,P028-53,Western hemlock,HW,18.0,15.6,242.3
P028,P028-54,Western hemlock,HW,7.5,8.1,44.6
P029,P029-01,Western redcedar,CW,22.7,15.6,339.8
P029,P029-02,Douglas-fir,FDC,16.1,14.7,223.2
P029,P029-03,Western redcedar,CW,32.1,19.4,640.5
P029,P029-04,Douglas-fir,FDC,35.2,25.0,1095.6
P029,P029-05,Red alder,DR,25.7,19.1,393.0
P029,P029-06,Douglas-fir,FDC,19.1,15.0,302.4
P029,P029-07,Western hemlock,HW,17.0,16.7,243.5
P029,P029-08,Douglas-fir,FDC,24.0,20.6,514.8
P029,P029-09,Bigleaf maple,MB,15.5,11.6,196.5
P029,P029-10,Bigleaf maple,MB,46.3,19.8,1627.0
P029,P029-11,Douglas-fir,FDC,39.7,25.9,1305.3
P029,P029-12,Douglas-fir,FDC,21.6,20.1,362.1
P029,P029-13,Douglas-fir,FDC,28.7,22.0,647.9
P029,P029-14,Douglas-fir,FDC,21.0,20.3,375.2
P029,P029-15,Red alder,DR,29.1,18.5,577.2
P029,P029-16,Western redcedar,CW,13.6,11.2,110.7
P029,P029-17,Douglas-fir,FDC,18.3,15.6,255.6
P029,P029-18,Douglas-fir,FDC,20.7,16.1,325.7
P029,P029-19,Douglas-fir,FDC,24.6,20.3,480.2
P029,P029-20,Western hemlock,HW,14.8,11.9,155.1
P029,P029-21,Red alder,DR,27.8,20.6,508.4
P029,P029-22,Douglas-fir,FDC,26.2,21.5,531.6
P029,P029-23,Red alder,DR,15.7,16.5,154.0
P029,P029-24,Western hemlock,HW,18.2,14.3,246.2
P029,P029-25,Douglas-fir,FDC,12.0,9.5,107.5
P029,P029-26,Red alder,DR,13.8,11.3,121.8
P029,P029-27,Western hemlock,HW,24.3,19.7,464.0
P029,P029-28,Douglas-fir,FDC,24.0,20.5,474.2
P029,P029-29,Douglas-fir,FDC,33.0,25.4,833.3
P029,P029-30,Douglas-fir,FDC,15.8,15.4,198.9
P029,P029-31,Red alder,DR,17.0,13.7,198.1
P029,P029-32,Western redcedar,CW,29.9,18.9,557.3
P029,P029-33,Western redcedar,CW,39.7,21.8,1023.1
P029,P029-34,Douglas-fir,FDC,17.4,15.6,227.2
P029,P029-35,Douglas-fir,FDC,20.7,17.3,378.8
P029,P029-36,Douglas-fir,FDC,31.5,22.6,756.1
P029,P029-37,Red alder,DR,13.6,11.5,108.2
P029,P029-38,Douglas-fir,FDC,36.9,26.2,1109.5
P029,P029-39,Red alder,DR,11.3,14.5,78.2
P029,P029-40,Douglas-fir,FDC,34.6,28.4,903.2
P029,P029-41,Western hemlock,HW,19.4,15.6,310.6
P029,P029-42,Douglas-fir,FDC,31.0,23.6,763.8
P029,P029-43,Douglas-fir,FDC,17.7,14.7,269.3
P029,P029-44,Red alder,DR,17.7,14.6,186.5
P029,P029-45,Douglas-fir,FDC,28.2,22.7,613.4
P029,P029-46,Douglas-fir,FDC,14.6,12.1,163.0
P029,P029-47,Douglas-fir,FDC,13.7,15.2,167.2
P029,P029-48,Western hemlock,HW,47.0,26.4,1942.2
P029,P029-49,Bigleaf maple,MB,18.7,13.8,255.4
P029,P029-50,Douglas-fir,FDC,18.9,15.2,284.6
P029,P029-51,Douglas-fir,FDC,9.7,10.1,71.2
P029,P029-52,Douglas-fir,FDC,9.1,13.0,69.3
P029,P029-53,Red alder,DR,10.7,9.5,70.6
P029,P029-54,Western hemlock,HW,31.6,23.2,826.7
P029,P029-55,Bigleaf maple,MB,18.3,13.6,256.1
P029,P029-56,Douglas-fir,FDC,26.4,21.3,602.4
P029,P029-57,Western hemlock,HW,21.1,16.4,340.3
P029,P029-58,Red alder,DR,13.4,13.5,108.8
P029,P029-59,Douglas-fir,FDC,20.6,17.6,383.5
P029,P029-60,Red alder,DR,7.5,10.6,33.0
P029,P029-61,Douglas-fir,FDC,41.7,25.9,1318.1
P029,P029-62,Red alder,DR,35.3,22.5,762.7
P029,P029-63,Western hemlock,HW,27.8,23.7,658.2
P029,P029-64,Douglas-fir,FDC,23.5,18.7,435.5
P029,P029-65,Douglas-fir,FDC,25.3,20.4,508.6
P029,P029-66,Western redcedar,CW,24.7,17.9,409.1
P029,P029-67,Douglas-fir,FDC,23.4,17.3,444.3
P029,P029-68,Douglas-fir,FDC,15.6,15.2,185.1
P029,P029-69,Western hemlock,HW,25.8,21.5,521.5
P029,P029-70,Douglas-fir,FDC,21.3,16.0,368.5
P029,P029-71,Bigleaf maple,MB,9.5,8.7,64.0
P029,P029-72,Douglas-fir,FDC,12.8,13.0,127.4
P030,P030-01,Western redcedar,CW,69.0,30.4,2904.3
P030,P030-02,Western redcedar,CW,33.0,18.0,709.4
P030,P030-03,Sitka spruce,SS,63.8,36.6,2981.4
P030,P030-04,Douglas-fir,FDC,36.1,25.8,1166.6
P030,P030-05,Western hemlock,HW,52.2,33.7,2428.2
P030,P030-06,Douglas-fir,FDC,29.5,23.2,747.1
P030,P030-07,Western redcedar,CW,42.1,22.3,1033.6
P030,P030-08,Western hemlock,HW,39.3,27.7,1277.8
P030,P030-09,Douglas-fir,FDC,71.0,37.5,3968.1
P030,P030-10,Bigleaf maple,MB,42.3,21.7,1342.4
P030,P030-11,Western redcedar,CW,56.1,30.1,1894.4
P030,P030-12,Western hemlock,HW,54.7,35.1,2276.1
P030,P030-13,Western redcedar,CW,16.9,12.9,176.1
P030,P030-14,Sitka spruce,SS,26.5,20.6,489.4
P030,P030-15,Sitka spruce,SS,27.5,22.1,576.1
P030,P030-16,Sitka spruce,SS,35.0,28.6,882.7
P030,P030-17,Western redcedar,CW,16.8,12.7,168.4
P030,P030-18,Western hemlock,HW,67.9,36.2,3665.6
P030,P030-19,Douglas-fir,FDC,72.8,34.2,4533.6
P030,P030-20,Western hemlock,HW,63.6,33.6,3331.9
P030,P030-21,Western redcedar,CW,47.3,27.7,1324.2
P030,P030-22,Sitka spruce,SS,26.2,22.0,474.9
P030,P030-23,Sitka spruce,SS,15.5,13.3,190.1
P030,P030-24,Douglas-fir,FDC,16.9,15.9,255.5
P030,P030-25,Sitka spruce,SS,70.8,38.7,4141.9
P030,P030-26,Western hemlock,HW,38.5,27.8,1302.7
P030,P030-27,Sitka spruce,SS,39.6,30.0,1205.6
P030,P030-28,Sitka spruce,SS,39.9,30.2,1277.8
P030,P030-29,Sitka spruce,SS,40.9,29.4,1261.7
P030,P030-30,Western redcedar,CW,20.7,15.1,266.9
P030,P030-31,Western hemlock,HW,24.2,21.1,474.0
P030,P030-32,Western hemlock,HW,36.2,28.1,1099.0
P030,P030-33,Douglas-fir,FDC,41.8,28.8,1343.0
P030,P030-34,Western hemlock,HW,27.7,20.6,648.6
P030,P030-35,Sitka spruce,SS,42.7,31.6,1307.5
P030,P030-36,Western hemlock,HW,63.9,36.0,3641.7
P030,P030-37,Western hemlock,HW,19.4,16.5,277.0
P030,P030-38,Western redcedar,CW,26.1,16.3,418.7
P030,P030-39,Western hemlock,HW,31.0,24.0,818.9
P030,P030-40,Western hemlock,HW,17.0,13.9,247.7
P030,P030-41,Bigleaf maple,MB,55.7,23.9,2373.9
P031,P031-01,Douglas-fir,FDC,70.6,39.5,4563.6
P031,P031-02,Western redcedar,CW,25.7,20.5,419.3
P031,P031-03,Bigleaf maple,MB,17.1,13.1,205.0
P031,P031-04,Douglas-fir,FDC,84.2,41.7,6063.6
P031,P031-05,Western hemlock,HW,33.4,25.1,900.5
P031,P031-06,Western hemlock,HW,37.3,25.6,1149.0
P031,P031-07,Douglas-fir,FDC,53.6,36.0,2465.3
P031,P031-08,Bigleaf maple,MB,44.1,22.2,1649.2
P031,P031-09,Western redcedar,CW,106.0,37.5,7247.7
P031,P031-10,Douglas-fir,FDC,31.5,23.7,768.8
P031,P031-11,Western hemlock,HW,69.7,35.3,3950.6
P031,P031-12,Western redcedar,CW,23.2,16.6,370.5
P031,P031-13,Sitka spruce,SS,23.0,21.0,390.3
P031,P031-14,Western hemlock,HW,90.4,40.6,6539.7
P031,P031-15,Douglas-fir,FDC,21.4,17.7,380.4
P031,P031-16,Sitka spruce,SS,41.4,28.5,1269.1
P031,P031-17,Western redcedar,CW,68.6,30.6,3356.0
P031,P031-18,Sitka spruce,SS,40.1,28.7,1186.4
P031,P031-19,Western redcedar,CW,19.2,15.1,217.3
P031,P031-20,Western hemlock,HW,19.2,17.2,292.5
P031,P031-21,Douglas-fir,FDC,39.4,28.6,1231.7
P031,P031-22,Western hemlock,HW,21.2,19.6,334.6
P031,P031-23,Douglas-fir,FDC,28.8,22.6,626.8
P031,P031-24,Western redcedar,CW,32.6,20.8,668.1
P031,P031-25,Western redcedar,CW,20.6,15.9,249.1
P031,P031-26,Western hemlock,HW,24.6,19.0,526.6
P031,P031-27,Western redcedar,CW,41.0,23.2,1108.3
P031,P031-28,Western hemlock,HW,19.6,17.8,323.2
P031,P031-29,Western hemlock,HW,10.3,12.7,79.1
P031,P031-30,Douglas-fir,FDC,134.3,46.6,16238.8
P031,P031-31,Douglas-fir,FDC,40.6,28.3,1377.4
P031,P031-32,Douglas-fir,FDC,35.0,26.5,1028.6
P031,P031-33,Bigleaf maple,MB,22.0,15.1,339.3
P031,P031-34,Douglas-fir,FDC,22.7,17.1,466.4
P031,P031-35,Western redcedar,CW,19.4,11.4,244.7
P031,P031-36,Western hemlock,HW,51.1,30.2,2231.4
P031,P031-37,Sitka spruce,SS,41.5,30.1,1315.4
P031,P031-38,Western redcedar,CW,33.4,18.7,654.0
P031,P031-39,Douglas-fir,FDC,34.1,26.3,1005.8
P031,P031-40,Douglas-fir,FDC,62.8,35.0,3012.1
P031,P031-41,Douglas-fir,FDC,33.6,23.5,1011.2
P031,P031-42,Douglas-fir,FDC,24.8,18.0,509.4
P032,P032-01,Red alder,DR,13.6,13.9,122.2
P032,P032-02,Western redcedar,CW,25.2,18.5,440.3
P032,P032-03,Red alder,DR,16.1,15.0,166.7
P032,P032-04,Red alder,DR,16.5,12.6,158.9
P032,P032-05,Red alder,DR,16.0,14.5,168.9
P032,P032-06,Sitka spruce,SS,15.0,17.3,162.6
P032,P032-07,Red alder,DR,15.7,14.4,155.1
P032,P032-08,Red alder,DR,22.2,16.7,339.2
P032,P032-09,Red alder,DR,39.8,23.1,1065.5
P032,P032-10,Red alder,DR,10.8,9.2,68.0
P032,P032-11,Red alder,DR,17.4,12.6,204.8
P032,P032-12,Western redcedar,CW,26.3,18.2,483.9
P032,P032-13,Sitka spruce,SS,20.4,21.3,335.7
P032,P032-14,Sitka spruce,SS,9.8,11.9,67.9
P032,P032-15,Bigleaf maple,MB,14.9,12.3,170.6
P032,P032-16,Western redcedar,CW,13.9,13.7,119.9
P032,P032-17,Red alder,DR,15.3,15.1,153.1
P032,P032-18,Sitka spruce,SS,14.1,14.5,138.7
P032,P032-19,Sitka spruce,SS,35.6,27.6,967.4
P032,P032-20,Sitka spruce,SS,17.2,14.2,229.6
P032,P032-21,Bigleaf maple,MB,12.5,8.0,106.9
P032,P032-22,Western redcedar,CW,11.4,7.4,80.4
P032,P032-23,Red alder,DR,11.5,12.8,85.9
P032,P032-24,Red alder,DR,50.1,27.0,1808.6
P032,P032-25,Red alder,DR,31.8,21.4,662.1
P032,P032-26,Sitka spruce,SS,24.9,19.9,490.8
P032,P032-27,Sitka spruce,SS,25.4,22.7,495.2
P032,P032-28,Red alder,DR,13.3,10.8,105.9
P032,P032-29,Bigleaf maple,MB,20.4,15.9,339.4
P032,P032-30,Western redcedar,CW,19.4,15.2,249.1
P032,P032-31,Bigleaf maple,MB,19.5,14.9,289.1
P032,P032-32,Bigleaf maple,MB,18.9,13.8,297.9
P033,P033-01,Bigleaf maple,MB,14.0,10.8,162.6
P033,P033-02,Douglas-fir,FDC,25.0,18.0,547.0
P033,P033-03,Douglas-fir,FDC,55.9,34.3,2399.9
P033,P033-04,Western hemlock,HW,33.9,25.9,915.5
P033,P033-05,Douglas-fir,FDC,45.0,29.5,1874.5
P033,P033-06,Western hemlock,HW,23.2,19.8,465.5
P033,P033-07,Western hemlock,HW,12.8,12.7,115.3
